#{"t_start": 1761863674.2271237, "env_id": "None"}
r,l,t,winner,reason
1.0,23,15.115473,2,capture
1.0,20,15.147385,2,capture
1.0,22,15.182344,2,capture
1.0,24,15.220833,2,capture
1.0,18,15.24997,2,capture
1.0,37,15.309448,2,capture
1.0,18,15.338049,2,capture
1.0,32,15.389475,2,capture
1.0,16,15.414833,2,capture
1.0,24,15.453625,2,capture
1.0,30,15.503521,2,capture
1.0,29,15.549898,2,capture
1.0,20,15.581551,2,capture
1.0,19,15.611914,2,capture
1.0,46,15.686595,2,capture
1.0,16,15.712022,2,capture
1.0,16,15.737403,2,capture
1.0,22,15.772426,2,capture
1.0,42,15.840921,2,capture
1.0,22,15.875938,2,capture
1.0,23,15.912856,2,capture
1.0,19,15.943164,2,capture
-1.0,19,15.973486,1,block
1.0,22,16.008674,2,capture
1.0,18,16.03744,2,capture
1.0,27,16.08077,2,capture
1.0,28,16.125856,2,capture
1.0,25,16.16578,2,capture
1.0,30,16.213777,2,capture
1.0,15,16.237634,2,capture
1.0,22,16.272631,2,capture
1.0,23,16.309471,2,capture
1.0,33,16.362435,2,capture
1.0,35,16.41912,2,capture
1.0,26,16.46085,2,capture
1.0,17,16.487924,2,capture
1.0,16,16.513998,2,capture
1.0,31,16.563702,2,capture
1.0,24,16.60228,2,capture
1.0,26,16.644089,2,capture
1.0,22,16.679215,2,capture
1.0,37,16.739002,2,capture
1.0,25,16.779227,2,capture
1.0,30,16.828257,2,capture
1.0,17,16.855851,2,capture
1.0,31,16.905563,2,capture
1.0,40,16.970022,2,capture
1.0,20,17.001954,2,capture
1.0,17,17.029106,2,capture
1.0,21,17.062468,2,capture
1.0,28,17.107205,2,capture
1.0,17,17.134336,2,capture
1.0,13,17.155137,2,capture
1.0,31,17.204746,2,capture
1.0,17,17.231967,2,capture
1.0,13,17.252588,2,capture
1.0,32,18.447703,2,capture
1.0,25,18.487703,2,capture
1.0,18,18.516491,2,capture
1.0,16,18.54195,2,capture
1.0,17,18.568985,2,capture
1.0,15,18.592947,2,capture
1.0,24,18.631291,2,capture
1.0,26,18.67305,2,capture
1.0,27,18.716469,2,capture
1.0,37,18.776298,2,capture
1.0,23,18.812973,2,capture
1.0,43,18.882317,2,capture
1.0,24,18.920572,2,capture
1.0,15,18.94431,2,capture
1.0,15,18.968155,2,capture
1.0,20,19.000034,2,capture
1.0,18,19.028816,2,capture
1.0,30,19.077005,2,capture
1.0,36,19.134923,2,capture
1.0,33,19.187911,2,capture
1.0,18,19.21653,2,capture
1.0,15,19.240309,2,capture
1.0,27,19.283649,2,capture
1.0,19,19.313869,2,capture
1.0,26,19.355227,2,capture
1.0,21,19.388674,2,capture
1.0,18,19.417317,2,capture
1.0,34,19.472208,2,capture
1.0,23,19.509311,2,capture
1.0,29,19.555987,2,capture
1.0,16,19.581492,2,capture
1.0,26,19.623279,2,capture
1.0,17,19.650236,2,capture
1.0,20,19.682098,2,capture
1.0,20,19.714163,2,capture
1.0,24,19.752748,2,capture
1.0,37,19.812359,2,capture
1.0,35,19.869557,2,capture
1.0,32,19.921037,2,capture
1.0,14,19.943244,2,capture
1.0,21,19.976795,2,capture
1.0,19,20.00704,2,capture
1.0,18,20.035836,2,capture
1.0,30,20.084897,2,capture
1.0,23,20.121914,2,capture
1.0,27,20.165359,2,capture
1.0,27,20.208557,2,capture
1.0,25,20.24866,2,capture
1.0,15,20.27251,2,capture
1.0,20,20.304333,2,capture
1.0,25,20.344784,2,capture
1.0,21,20.378371,2,capture
1.0,28,20.423697,2,capture
1.0,17,20.450736,2,capture
1.0,24,20.489191,2,capture
1.0,16,20.514921,2,capture
1.0,21,20.549407,2,capture
1.0,25,20.589253,2,capture
1.0,18,20.618074,2,capture
1.0,19,20.648167,2,capture
1.0,31,20.698085,2,capture
1.0,23,20.734755,2,capture
-1.0,27,20.778212,1,block
1.0,35,20.834557,2,capture
1.0,36,20.892541,2,capture
1.0,16,20.918144,2,capture
1.0,26,20.959579,2,capture
1.0,28,21.004554,2,capture
1.0,14,21.026785,2,capture
1.0,14,21.049013,2,capture
1.0,26,21.090534,2,capture
1.0,24,21.128709,2,capture
1.0,22,21.163815,2,capture
1.0,17,21.190975,2,capture
1.0,19,21.22131,2,capture
1.0,20,21.253112,2,capture
1.0,23,21.28973,2,capture
1.0,25,21.329629,2,capture
1.0,20,21.361361,2,capture
1.0,24,21.399732,2,capture
1.0,25,21.439789,2,capture
1.0,21,21.473346,2,capture
-1.0,19,21.503611,1,block
1.0,21,21.538007,2,capture
1.0,21,21.573354,2,capture
-1.0,19,21.603551,1,block
1.0,28,21.648425,2,capture
1.0,18,21.67705,2,capture
1.0,21,22.853528,2,capture
1.0,22,22.888517,2,capture
1.0,26,22.930046,2,capture
1.0,18,22.958734,2,capture
1.0,15,22.982711,2,capture
1.0,11,23.00019,2,capture
1.0,17,23.02721,2,capture
1.0,20,23.059083,2,capture
1.0,27,23.102435,2,capture
1.0,21,23.136053,2,capture
1.0,31,23.18616,2,capture
1.0,27,23.230533,2,capture
1.0,24,23.269222,2,capture
1.0,27,23.312683,2,capture
1.0,21,23.346267,2,capture
1.0,25,23.386301,2,capture
1.0,31,23.436361,2,capture
1.0,19,23.466767,2,capture
1.0,13,23.487566,2,capture
1.0,14,23.509825,2,capture
1.0,31,23.559543,2,capture
1.0,13,23.580281,2,capture
1.0,27,23.62353,2,capture
1.0,28,23.668384,2,capture
1.0,24,23.706603,2,capture
1.0,23,23.743181,2,capture
-1.0,19,23.773456,1,block
1.0,29,23.819793,2,capture
1.0,17,23.846876,2,capture
1.0,20,23.878683,2,capture
1.0,24,23.917013,2,capture
1.0,25,23.957055,2,capture
1.0,29,24.003597,2,capture
1.0,27,24.046778,2,capture
1.0,23,24.083386,2,capture
1.0,37,24.14319,2,capture
1.0,20,24.175092,2,capture
1.0,22,24.210304,2,capture
1.0,29,24.256769,2,capture
1.0,14,24.27915,2,capture
1.0,11,24.29669,2,capture
1.0,29,24.344223,2,capture
1.0,26,24.385855,2,capture
1.0,29,24.432589,2,capture
1.0,27,24.475925,2,capture
1.0,30,24.52407,2,capture
1.0,29,24.570415,2,capture
1.0,21,24.603814,2,capture
1.0,31,24.653714,2,capture
1.0,18,24.682551,2,capture
1.0,19,24.712738,2,capture
